x,f(x)
0,1.438298479343642
1,1.438275759402751
2,1.438253033912872
3,1.438230302871391
4,1.438207566275695
5,1.438184824123169
6,1.438162076411193
7,1.438139323137150
8,1.438116564298417
9,1.438093799892372
10,1.438071029916391
11,1.438048254367845
12,1.438025473244107
13,1.438002686542546
14,1.437979894260531
15,1.437957096395426
16,1.437934292944598
17,1.437911483905406
18,1.437888669275212
19,1.437865849051375
20,1.437843023231251
21,1.437820191812196
22,1.437797354791561
23,1.437774512166699
24,1.437751663934959
25,1.437728810093689
26,1.437705950640234
27,1.437683085571937
28,1.437660214886141
29,1.437637338580186
30,1.437614456651410
31,1.437591569097150
32,1.437568675914739
33,1.437545777101511
34,1.437522872654797
35,1.437499962571924
36,1.437477046850221
37,1.437454125487012
38,1.437431198479621
39,1.437408265825368
40,1.437385327521575
41,1.437362383565557
42,1.437339433954631
43,1.437316478686111
44,1.437293517757309
45,1.437270551165535
46,1.437247578908096
47,1.437224600982300
48,1.437201617385451
49,1.437178628114850
50,1.437155633167800
51,1.437132632541599
52,1.437109626233542
53,1.437086614240926
54,1.437063596561043
55,1.437040573191185
56,1.437017544128640
57,1.436994509370697
58,1.436971468914640
59,1.436948422757752
60,1.436925370897316
61,1.436902313330611
62,1.436879250054915
63,1.436856181067503
64,1.436833106365650
65,1.436810025946627
66,1.436786939807704
67,1.436763847946150
68,1.436740750359231
69,1.436717647044211
70,1.436694537998352
71,1.436671423218915
72,1.436648302703158
73,1.436625176448337
74,1.436602044451708
75,1.436578906710523
76,1.436555763222032
77,1.436532613983484
78,1.436509458992127
79,1.436486298245204
80,1.436463131739959
81,1.436439959473633
82,1.436416781443465
83,1.436393597646691
84,1.436370408080547
85,1.436347212742267
86,1.436324011629080
87,1.436300804738217
88,1.436277592066904
89,1.436254373612367
90,1.436231149371829
91,1.436207919342512
92,1.436184683521634
93,1.436161441906414
94,1.436138194494066
95,1.436114941281804
96,1.436091682266839
97,1.436068417446382
98,1.436045146817639
99,1.436021870377815
100,1.435998588124116
101,1.435975300053740
102,1.435952006163890
103,1.435928706451761
104,1.435905400914550
105,1.435882089549449
106,1.435858772353652
107,1.435835449324346
108,1.435812120458720
109,1.435788785753959
110,1.435765445207247
111,1.435742098815765
112,1.435718746576693
113,1.435695388487208
114,1.435672024544486
115,1.435648654745700
116,1.435625279088021
117,1.435601897568620
118,1.435578510184663
119,1.435555116933316
120,1.435531717811743
121,1.435508312817104
122,1.435484901946558
123,1.435461485197264
124,1.435438062566377
125,1.435414634051049
126,1.435391199648432
127,1.435367759355675
128,1.435344313169925
129,1.435320861088327
130,1.435297403108024
131,1.435273939226157
132,1.435250469439865
133,1.435226993746286
134,1.435203512142552
135,1.435180024625798
136,1.435156531193155
137,1.435133031841750
138,1.435109526568711
139,1.435086015371161
140,1.435062498246224
141,1.435038975191019
142,1.435015446202666
143,1.434991911278280
144,1.434968370414975
145,1.434944823609864
146,1.434921270860057
147,1.434897712162661
148,1.434874147514783
149,1.434850576913527
150,1.434827000355993
151,1.434803417839282
152,1.434779829360491
153,1.434756234916716
154,1.434732634505050
155,1.434709028122584
156,1.434685415766408
157,1.434661797433608
158,1.434638173121270
159,1.434614542826476
160,1.434590906546307
161,1.434567264277842
162,1.434543616018158
163,1.434519961764328
164,1.434496301513426
165,1.434472635262521
166,1.434448963008682
167,1.434425284748974
168,1.434401600480462
169,1.434377910200207
170,1.434354213905268
171,1.434330511592704
172,1.434306803259570
173,1.434283088902918
174,1.434259368519801
175,1.434235642107266
176,1.434211909662362
177,1.434188171182132
178,1.434164426663619
179,1.434140676103864
180,1.434116919499905
181,1.434093156848777
182,1.434069388147516
183,1.434045613393153
184,1.434021832582717
185,1.433998045713236
186,1.433974252781735
187,1.433950453785239
188,1.433926648720767
189,1.433902837585338
190,1.433879020375970
191,1.433855197089677
192,1.433831367723471
193,1.433807532274363
194,1.433783690739360
195,1.433759843115469
196,1.433735989399693
197,1.433712129589034
198,1.433688263680490
199,1.433664391671060
200,1.433640513557738
201,1.433616629337518
202,1.433592739007388
203,1.433568842564339
204,1.433544940005356
205,1.433521031327423
206,1.433497116527522
207,1.433473195602633
208,1.433449268549732
209,1.433425335365796
210,1.433401396047798
211,1.433377450592707
212,1.433353498997493
213,1.433329541259122
214,1.433305577374558
215,1.433281607340763
216,1.433257631154698
217,1.433233648813318
218,1.433209660313580
219,1.433185665652437
220,1.433161664826839
221,1.433137657833735
