x,f(x)
0,1.422353689296846
1,1.422323817522352
2,1.422293936333677
3,1.422264045725139
4,1.422234145691053
5,1.422204236225728
6,1.422174317323468
7,1.422144388978574
8,1.422114451185339
9,1.422084503938051
10,1.422054547230996
11,1.422024581058452
12,1.421994605414692
13,1.421964620293986
14,1.421934625690597
15,1.421904621598784
16,1.421874608012799
17,1.421844584926891
18,1.421814552335303
19,1.421784510232272
20,1.421754458612032
21,1.421724397468810
22,1.421694326796829
23,1.421664246590304
24,1.421634156843450
25,1.421604057550472
26,1.421573948705571
27,1.421543830302946
28,1.421513702336785
29,1.421483564801277
30,1.421453417690601
31,1.421423260998933
32,1.421393094720444
33,1.421362918849298
34,1.421332733379656
35,1.421302538305672
36,1.421272333621495
37,1.421242119321270
38,1.421211895399135
39,1.421181661849224
40,1.421151418665665
41,1.421121165842582
42,1.421090903374091
43,1.421060631254306
44,1.421030349477334
45,1.421000058037275
46,1.420969756928228
47,1.420939446144282
48,1.420909125679524
49,1.420878795528034
50,1.420848455683888
51,1.420818106141155
52,1.420787746893899
53,1.420757377936180
54,1.420726999262052
55,1.420696610865562
56,1.420666212740754
57,1.420635804881666
58,1.420605387282328
59,1.420574959936769
60,1.420544522839009
61,1.420514075983065
62,1.420483619362947
63,1.420453152972660
64,1.420422676806204
65,1.420392190857573
66,1.420361695120756
67,1.420331189589736
68,1.420300674258491
69,1.420270149120993
70,1.420239614171210
71,1.420209069403102
72,1.420178514810627
73,1.420147950387733
74,1.420117376128367
75,1.420086792026468
76,1.420056198075969
77,1.420025594270800
78,1.419994980604883
79,1.419964357072135
80,1.419933723666468
81,1.419903080381789
82,1.419872427211998
83,1.419841764150991
84,1.419811091192657
85,1.419780408330880
86,1.419749715559539
87,1.419719012872506
88,1.419688300263650
89,1.419657577726831
90,1.419626845255906
91,1.419596102844725
92,1.419565350487132
93,1.419534588176969
94,1.419503815908067
95,1.419473033674255
96,1.419442241469355
97,1.419411439287184
98,1.419380627121553
99,1.419349804966267
100,1.419318972815126
101,1.419288130661924
102,1.419257278500449
103,1.419226416324484
104,1.419195544127805
105,1.419164661904184
106,1.419133769647387
107,1.419102867351173
108,1.419071955009296
109,1.419041032615504
110,1.419010100163540
111,1.418979157647141
112,1.418948205060038
113,1.418917242395956
114,1.418886269648614
115,1.418855286811727
